Close Price,Currency,Date,PermID
36.16,EUR,2014-08-13,5000039357
35.915,EUR,2014-08-14,5000039357
35.785,EUR,2014-08-15,5000039357
36.255,EUR,2014-08-18,5000039357
36.665,EUR,2014-08-19,5000039357
36.525,EUR,2014-08-20,5000039357
37.51,EUR,2014-08-21,5000039357
37.54,EUR,2014-08-22,5000039357
38.65,EUR,2014-08-25,5000039357
39.315,EUR,2014-08-26,5000039357
39.37,EUR,2014-08-27,5000039357
38.545,EUR,2014-08-28,5000039357
38.555,EUR,2014-08-29,5000039357
38.315,EUR,2014-09-01,5000039357
38.375,EUR,2014-09-02,5000039357
39.365,EUR,2014-09-03,5000039357
41.0,EUR,2014-09-04,5000039357
41.41,EUR,2014-09-05,5000039357
41.495,EUR,2014-09-08,5000039357
41.05,EUR,2014-09-09,5000039357
41.3,EUR,2014-09-10,5000039357
41.575,EUR,2014-09-11,5000039357
41.655,EUR,2014-09-12,5000039357
41.295,EUR,2014-09-15,5000039357
40.8,EUR,2014-09-16,5000039357
40.965,EUR,2014-09-17,5000039357
41.54,EUR,2014-09-18,5000039357
41.39,EUR,2014-09-19,5000039357
40.855,EUR,2014-09-22,5000039357
40.19,EUR,2014-09-23,5000039357
40.93,EUR,2014-09-24,5000039357
40.485,EUR,2014-09-25,5000039357
40.675,EUR,2014-09-26,5000039357
40.0,EUR,2014-09-29,5000039357
40.42,EUR,2014-09-30,5000039357
40.665,EUR,2014-10-01,5000039357
38.61,EUR,2014-10-02,5000039357
39.55,EUR,2014-10-03,5000039357
39.975,EUR,2014-10-06,5000039357
38.92,EUR,2014-10-07,5000039357
38.495,EUR,2014-10-08,5000039357
37.655,EUR,2014-10-09,5000039357
36.79,EUR,2014-10-10,5000039357
37.015,EUR,2014-10-13,5000039357
37.06,EUR,2014-10-14,5000039357
35.145,EUR,2014-10-15,5000039357
34.385,EUR,2014-10-16,5000039357
36.195,EUR,2014-10-17,5000039357
36.17,EUR,2014-10-20,5000039357
37.505,EUR,2014-10-21,5000039357
37.76,EUR,2014-10-22,5000039357
38.605,EUR,2014-10-23,5000039357
38.835,EUR,2014-10-24,5000039357
37.765,EUR,2014-10-27,5000039357
38.43,EUR,2014-10-28,5000039357
37.285,EUR,2014-10-29,5000039357
37.17,EUR,2014-10-30,5000039357
38.415,EUR,2014-10-31,5000039357
38.505,EUR,2014-11-03,5000039357
37.655,EUR,2014-11-04,5000039357
38.005,EUR,2014-11-05,5000039357
37.07,EUR,2014-11-06,5000039357
36.18,EUR,2014-11-07,5000039357
36.115,EUR,2014-11-10,5000039357
36.32,EUR,2014-11-11,5000039357
35.175,EUR,2014-11-12,5000039357
35.53,EUR,2014-11-13,5000039357
35.895,EUR,2014-11-14,5000039357
36.41,EUR,2014-11-17,5000039357
36.98,EUR,2014-11-18,5000039357
36.99,EUR,2014-11-19,5000039357
36.445,EUR,2014-11-20,5000039357
38.005,EUR,2014-11-21,5000039357
38.8,EUR,2014-11-24,5000039357
39.495,EUR,2014-11-25,5000039357
39.305,EUR,2014-11-26,5000039357
39.68,EUR,2014-11-27,5000039357
39.89,EUR,2014-11-28,5000039357
39.195,EUR,2014-12-01,5000039357
39.005,EUR,2014-12-02,5000039357
39.115,EUR,2014-12-03,5000039357
38.015,EUR,2014-12-04,5000039357
39.28,EUR,2014-12-05,5000039357
38.645,EUR,2014-12-08,5000039357
37.23,EUR,2014-12-09,5000039357
36.79,EUR,2014-12-10,5000039357
36.515,EUR,2014-12-11,5000039357
35.35,EUR,2014-12-12,5000039357
34.365,EUR,2014-12-15,5000039357
34.185,EUR,2014-12-16,5000039357
33.885,EUR,2014-12-17,5000039357
35.22,EUR,2014-12-18,5000039357
34.46,EUR,2014-12-19,5000039357
34.805,EUR,2014-12-22,5000039357
35.475,EUR,2014-12-23,5000039357
35.455,EUR,2014-12-24,5000039357
35.26,EUR,2014-12-29,5000039357
34.815,EUR,2014-12-30,5000039357
34.99,EUR,2014-12-31,5000039357
35.36,EUR,2015-01-02,5000039357
33.78,EUR,2015-01-05,5000039357
33.18,EUR,2015-01-06,5000039357
32.825,EUR,2015-01-07,5000039357
33.78,EUR,2015-01-08,5000039357
33.4,EUR,2015-01-09,5000039357
33.445,EUR,2015-01-12,5000039357
33.865,EUR,2015-01-13,5000039357
33.485,EUR,2015-01-14,5000039357
33.985,EUR,2015-01-15,5000039357
34.11,EUR,2015-01-16,5000039357
34.865,EUR,2015-01-19,5000039357
36.35,EUR,2015-01-20,5000039357
36.71,EUR,2015-01-21,5000039357
38.075,EUR,2015-01-22,5000039357
37.81,EUR,2015-01-23,5000039357
38.1,EUR,2015-01-26,5000039357
37.225,EUR,2015-01-27,5000039357
36.2,EUR,2015-01-28,5000039357
36.26,EUR,2015-01-29,5000039357
35.835,EUR,2015-01-30,5000039357
36.0,EUR,2015-02-02,5000039357
37.655,EUR,2015-02-03,5000039357
37.16,EUR,2015-02-04,5000039357
36.82,EUR,2015-02-05,5000039357
37.22,EUR,2015-02-06,5000039357
36.435,EUR,2015-02-09,5000039357
36.55,EUR,2015-02-10,5000039357
36.31,EUR,2015-02-11,5000039357
36.905,EUR,2015-02-12,5000039357
38.4,EUR,2015-02-13,5000039357
38.62,EUR,2015-02-16,5000039357
38.5,EUR,2015-02-17,5000039357
40.045,EUR,2015-02-18,5000039357
40.18,EUR,2015-02-19,5000039357
40.455,EUR,2015-02-20,5000039357
40.45,EUR,2015-02-23,5000039357
40.81,EUR,2015-02-24,5000039357
40.195,EUR,2015-02-25,5000039357
40.97,EUR,2015-02-26,5000039357
41.315,EUR,2015-02-27,5000039357
41.485,EUR,2015-03-02,5000039357
40.55,EUR,2015-03-03,5000039357
41.005,EUR,2015-03-04,5000039357
41.34,EUR,2015-03-05,5000039357
41.805,EUR,2015-03-06,5000039357
41.575,EUR,2015-03-09,5000039357
40.95,EUR,2015-03-10,5000039357
42.15,EUR,2015-03-11,5000039357
42.18,EUR,2015-03-12,5000039357
42.29,EUR,2015-03-13,5000039357
42.79,EUR,2015-03-16,5000039357
42.445,EUR,2015-03-17,5000039357
42.01,EUR,2015-03-18,5000039357
42.57,EUR,2015-03-19,5000039357
43.155,EUR,2015-03-20,5000039357
43.735,EUR,2015-03-23,5000039357
44.83,EUR,2015-03-24,5000039357
44.835,EUR,2015-03-25,5000039357
44.29,EUR,2015-03-26,5000039357
44.655,EUR,2015-03-27,5000039357
45.63,EUR,2015-03-30,5000039357
44.97,EUR,2015-03-31,5000039357
45.655,EUR,2015-04-01,5000039357
45.92,EUR,2015-04-02,5000039357
46.445,EUR,2015-04-07,5000039357
46.49,EUR,2015-04-08,5000039357
46.565,EUR,2015-04-09,5000039357
46.185,EUR,2015-04-10,5000039357
46.625,EUR,2015-04-13,5000039357
45.73,EUR,2015-04-14,5000039357
46.045,EUR,2015-04-15,5000039357
45.6,EUR,2015-04-16,5000039357
44.83,EUR,2015-04-17,5000039357
45.93,EUR,2015-04-20,5000039357
45.24,EUR,2015-04-21,5000039357
45.75,EUR,2015-04-22,5000039357
45.105,EUR,2015-04-23,5000039357
45.835,EUR,2015-04-24,5000039357
46.755,EUR,2015-04-27,5000039357
46.215,EUR,2015-04-28,5000039357
45.21,EUR,2015-04-29,5000039357
44.705,EUR,2015-04-30,5000039357
45.325,EUR,2015-05-04,5000039357
44.765,EUR,2015-05-05,5000039357
43.75,EUR,2015-05-06,5000039357
43.3,EUR,2015-05-07,5000039357
44.075,EUR,2015-05-08,5000039357
44.145,EUR,2015-05-11,5000039357
43.805,EUR,2015-05-12,5000039357
44.135,EUR,2015-05-13,5000039357
44.93,EUR,2015-05-14,5000039357
44.65,EUR,2015-05-15,5000039357
44.025,EUR,2015-05-18,5000039357
44.65,EUR,2015-05-19,5000039357
45.03,EUR,2015-05-20,5000039357
44.975,EUR,2015-05-21,5000039357
44.75,EUR,2015-05-22,5000039357
44.535,EUR,2015-05-25,5000039357
43.29,EUR,2015-05-26,5000039357
44.195,EUR,2015-05-27,5000039357
43.545,EUR,2015-05-28,5000039357
42.525,EUR,2015-05-29,5000039357
42.205,EUR,2015-06-01,5000039357
42.755,EUR,2015-06-02,5000039357
43.31,EUR,2015-06-03,5000039357
43.02,EUR,2015-06-04,5000039357
42.3,EUR,2015-06-05,5000039357
42.015,EUR,2015-06-08,5000039357
42.195,EUR,2015-06-09,5000039357
42.985,EUR,2015-06-10,5000039357
43.425,EUR,2015-06-11,5000039357
42.895,EUR,2015-06-12,5000039357
41.91,EUR,2015-06-15,5000039357
41.925,EUR,2015-06-16,5000039357
41.645,EUR,2015-06-17,5000039357
42.055,EUR,2015-06-18,5000039357
42.405,EUR,2015-06-19,5000039357
43.75,EUR,2015-06-22,5000039357
44.335,EUR,2015-06-23,5000039357
44.03,EUR,2015-06-24,5000039357
44.135,EUR,2015-06-25,5000039357
44.455,EUR,2015-06-26,5000039357
42.09,EUR,2015-06-29,5000039357
41.87,EUR,2015-06-30,5000039357
42.97,EUR,2015-07-01,5000039357
42.315,EUR,2015-07-02,5000039357
41.98,EUR,2015-07-03,5000039357
40.395,EUR,2015-07-06,5000039357
39.275,EUR,2015-07-07,5000039357
39.5,EUR,2015-07-08,5000039357
40.955,EUR,2015-07-09,5000039357
42.45,EUR,2015-07-10,5000039357
43.555,EUR,2015-07-13,5000039357
43.78,EUR,2015-07-14,5000039357
44.195,EUR,2015-07-15,5000039357
44.875,EUR,2015-07-16,5000039357
44.845,EUR,2015-07-17,5000039357
45.315,EUR,2015-07-20,5000039357
45.125,EUR,2015-07-21,5000039357
45.33,EUR,2015-07-22,5000039357
45.65,EUR,2015-07-23,5000039357
45.265,EUR,2015-07-24,5000039357
43.885,EUR,2015-07-27,5000039357
44.475,EUR,2015-07-28,5000039357
44.12,EUR,2015-07-29,5000039357
44.58,EUR,2015-07-30,5000039357
44.8,EUR,2015-07-31,5000039357
45.0,EUR,2015-08-03,5000039357
44.645,EUR,2015-08-04,5000039357
48.17,EUR,2015-08-05,5000039357
48.095,EUR,2015-08-06,5000039357
47.875,EUR,2015-08-07,5000039357
48.33,EUR,2015-08-10,5000039357
47.91,EUR,2015-08-11,5000039357
46.23,EUR,2015-08-12,5000039357
46.985,EUR,2015-08-13,5000039357
46.7,EUR,2015-08-14,5000039357
47.3,EUR,2015-08-17,5000039357
47.215,EUR,2015-08-18,5000039357
46.795,EUR,2015-08-19,5000039357
45.475,EUR,2015-08-20,5000039357
43.54,EUR,2015-08-21,5000039357
40.635,EUR,2015-08-24,5000039357
42.99,EUR,2015-08-25,5000039357
42.36,EUR,2015-08-26,5000039357
43.78,EUR,2015-08-27,5000039357
43.675,EUR,2015-08-28,5000039357
43.455,EUR,2015-08-31,5000039357
41.975,EUR,2015-09-01,5000039357
42.095,EUR,2015-09-02,5000039357
43.27,EUR,2015-09-03,5000039357
41.62,EUR,2015-09-04,5000039357
41.81,EUR,2015-09-07,5000039357
42.67,EUR,2015-09-08,5000039357
43.2,EUR,2015-09-09,5000039357
42.72,EUR,2015-09-10,5000039357
42.36,EUR,2015-09-11,5000039357
41.64,EUR,2015-09-14,5000039357
42.03,EUR,2015-09-15,5000039357
42.195,EUR,2015-09-16,5000039357
42.19,EUR,2015-09-17,5000039357
40.435,EUR,2015-09-18,5000039357
41.025,EUR,2015-09-21,5000039357
39.38,EUR,2015-09-22,5000039357
38.65,EUR,2015-09-23,5000039357
38.65,EUR,2015-09-24,5000039357
39.705,EUR,2015-09-25,5000039357
38.095,EUR,2015-09-28,5000039357
38.735,EUR,2015-09-29,5000039357
39.85,EUR,2015-09-30,5000039357
39.635,EUR,2015-10-01,5000039357
39.625,EUR,2015-10-02,5000039357
41.095,EUR,2015-10-05,5000039357
41.31,EUR,2015-10-06,5000039357
41.87,EUR,2015-10-07,5000039357
41.325,EUR,2015-10-08,5000039357
41.895,EUR,2015-10-09,5000039357
41.5,EUR,2015-10-12,5000039357
41.035,EUR,2015-10-13,5000039357
40.86,EUR,2015-10-14,5000039357
41.255,EUR,2015-10-15,5000039357
42.055,EUR,2015-10-16,5000039357
41.845,EUR,2015-10-19,5000039357
41.435,EUR,2015-10-20,5000039357
41.38,EUR,2015-10-21,5000039357
42.415,EUR,2015-10-22,5000039357
43.3,EUR,2015-10-23,5000039357
43.325,EUR,2015-10-26,5000039357
43.05,EUR,2015-10-27,5000039357
43.575,EUR,2015-10-28,5000039357
41.985,EUR,2015-10-29,5000039357
42.31,EUR,2015-10-30,5000039357
42.725,EUR,2015-11-02,5000039357
42.51,EUR,2015-11-03,5000039357
42.46,EUR,2015-11-04,5000039357
44.145,EUR,2015-11-05,5000039357
45.405,EUR,2015-11-06,5000039357
44.95,EUR,2015-11-09,5000039357
44.82,EUR,2015-11-10,5000039357
44.95,EUR,2015-11-11,5000039357
44.05,EUR,2015-11-12,5000039357
43.86,EUR,2015-11-13,5000039357
43.41,EUR,2015-11-16,5000039357
44.23,EUR,2015-11-17,5000039357
44.345,EUR,2015-11-18,5000039357
44.785,EUR,2015-11-19,5000039357
44.025,EUR,2015-11-20,5000039357
43.99,EUR,2015-11-23,5000039357
43.495,EUR,2015-11-24,5000039357
43.56,EUR,2015-11-25,5000039357
44.53,EUR,2015-11-26,5000039357
44.81,EUR,2015-11-27,5000039357
45.18,EUR,2015-11-30,5000039357
45.305,EUR,2015-12-01,5000039357
45.125,EUR,2015-12-02,5000039357
43.94,EUR,2015-12-03,5000039357
43.71,EUR,2015-12-04,5000039357
43.39,EUR,2015-12-07,5000039357
42.035,EUR,2015-12-08,5000039357
41.8,EUR,2015-12-09,5000039357
41.69,EUR,2015-12-10,5000039357
40.685,EUR,2015-12-11,5000039357
40.145,EUR,2015-12-14,5000039357
41.555,EUR,2015-12-15,5000039357
42.19,EUR,2015-12-16,5000039357
43.19,EUR,2015-12-17,5000039357
42.915,EUR,2015-12-18,5000039357
42.67,EUR,2015-12-21,5000039357
42.585,EUR,2015-12-22,5000039357
43.35,EUR,2015-12-23,5000039357
43.265,EUR,2015-12-24,5000039357
42.745,EUR,2015-12-28,5000039357
43.375,EUR,2015-12-29,5000039357
42.785,EUR,2015-12-30,5000039357
42.57,EUR,2015-12-31,5000039357
41.395,EUR,2016-01-04,5000039357
41.73,EUR,2016-01-05,5000039357
40.925,EUR,2016-01-06,5000039357
39.935,EUR,2016-01-07,5000039357
38.905,EUR,2016-01-08,5000039357
38.865,EUR,2016-01-11,5000039357
39.245,EUR,2016-01-12,5000039357
39.565,EUR,2016-01-13,5000039357
38.2,EUR,2016-01-14,5000039357
35.98,EUR,2016-01-15,5000039357
34.905,EUR,2016-01-18,5000039357
35.84,EUR,2016-01-19,5000039357
34.26,EUR,2016-01-20,5000039357
34.25,EUR,2016-01-21,5000039357
35.885,EUR,2016-01-22,5000039357
34.91,EUR,2016-01-25,5000039357
35.75,EUR,2016-01-26,5000039357
35.365,EUR,2016-01-27,5000039357
34.19,EUR,2016-01-28,5000039357
35.18,EUR,2016-01-29,5000039357
34.785,EUR,2016-02-01,5000039357
32.575,EUR,2016-02-02,5000039357
31.6,EUR,2016-02-03,5000039357
31.98,EUR,2016-02-04,5000039357
32.11,EUR,2016-02-05,5000039357
30.145,EUR,2016-02-08,5000039357
28.825,EUR,2016-02-09,5000039357
31.415,EUR,2016-02-10,5000039357
27.465,EUR,2016-02-11,5000039357
