RIC,Month,Year,Credit_spread
05531FBE2=,5,2022,0.00707
05531FBE2=,6,2022,0.00722
05531FBE2=,7,2022,0.008060000000000001
05531FBE2=,8,2022,0.00589
05531FBE2=,9,2022,0.006935
05531FBE2=,10,2022,0.00867
05531FBE2=,11,2022,0.01057
05531FBE2=,12,2022,0.00576
05531FBE2=,1,2023,0.00598
05531FBE2=,2,2023,0.00527
05531FBE2=,3,2023,0.0048000000000000004
05531FBE2=,4,2023,0.017169999999999998
05531FBE2=,5,2023,0.01472
05531FBE2=,6,2023,0.01904
05531FBE2=,7,2023,0.011380000000000001
05531FBF9=,12,2018,0.00975
05531FBF9=,1,2019,0.009219999999999999
05531FBF9=,2,2019,0.007305000000000001
05531FBF9=,3,2019,0.00666
05531FBF9=,4,2019,0.00751
05531FBF9=,5,2019,0.00659
05531FBF9=,6,2019,0.0078049999999999994
05531FBF9=,7,2019,0.006
05531FBF9=,8,2019,0.00628
05531FBF9=,9,2019,0.00744
05531FBF9=,10,2019,0.007185
05531FBF9=,11,2019,0.00631
05531FBF9=,12,2019,0.00604
05531FBF9=,1,2020,0.00425
05531FBF9=,2,2020,0.00523
05531FBF9=,3,2020,0.00737
05531FBF9=,4,2020,0.021920000000000002
05531FBF9=,5,2020,0.01272
05531FBF9=,6,2020,0.00758
05531FBF9=,7,2020,0.00711
05531FBF9=,8,2020,0.00579
05531FBF9=,9,2020,0.004105
05531FBF9=,10,2020,0.0060750000000000005
05531FBF9=,11,2020,0.00464
05531FBF9=,12,2020,0.0034200000000000003
05531FBF9=,1,2021,0.00292
05531FBF9=,2,2021,0.00292
05531FBF9=,3,2021,0.0024600000000000004
05531FBF9=,4,2021,0.0033699999999999997
05531FBF9=,5,2021,0.0031000000000000003
05531FBF9=,6,2021,0.0029500000000000004
05531FBF9=,7,2021,0.002825
05531FBF9=,8,2021,0.00247
05531FBF9=,9,2021,0.00234
05531FBF9=,10,2021,0.002235
05531FBF9=,11,2021,0.00304
05531FBF9=,12,2021,0.0032500000000000003
05531FBF9=,1,2022,0.00332
05531FBF9=,2,2022,0.0035700000000000003
05531FBF9=,3,2022,0.00571
