RIC,Year,Month,Prev Bond Rating,Correct Bond Rating,Pred Bond Rating,Correct Credit Migration,Pred Credit Migration,Probability of Migration
89114TZR6=,2023.0,8,3.0,3.0,5.0,0.0,2.0,0.5084507042253521
89114TZT2=,2023.0,8,3.0,3.0,5.0,0.0,2.0,0.5084507042253521
89114TZV7=,2023.0,8,3.0,3.0,5.0,0.0,2.0,0.5943661971830987
89114YGH8=,2023.0,8,2.0,2.0,4.0,0.0,2.0,0.5225352112676056
89115A2A9=,2023.0,8,4.0,4.0,4.0,0.0,0.0,0.5352112676056339
89115A2C5=,2023.0,8,4.0,4.0,4.0,0.0,0.0,0.5929577464788732
89115A2E1=,2023.0,8,4.0,4.0,4.0,0.0,0.0,0.5070422535211268
89115A2H4=,2023.0,8,3.0,3.0,4.0,0.0,1.0,0.5802816901408452
89115A2J0=,2023.0,8,3.0,3.0,4.0,0.0,1.0,0.5802816901408452
89788MAA0=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.619718309859155
89788MAB8=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.619718309859155
89788MAC6=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.6619718309859155
947890AH2=,2023.0,8,7.0,7.0,8.0,0.0,1.0,0.676056338028169
947890AJ8=,2023.0,8,7.0,7.0,8.0,0.0,1.0,0.6056338028169014
949746JM4=,2023.0,8,8.0,4.0,6.0,-4.0,-2.0,0.5788732394366198
949746RW3=,2023.0,8,8.0,4.0,6.0,-4.0,-2.0,0.5647887323943662
949746SH5=,2023.0,8,8.0,4.0,6.0,-4.0,-2.0,0.5225352112676056
94974BGA2=,2023.0,8,8.0,4.0,6.0,-4.0,-2.0,0.5788732394366198
94974BGH7=,2023.0,8,8.0,4.0,6.0,-4.0,-2.0,0.5788732394366198
94974BGK0=,2023.0,8,8.0,4.0,6.0,-4.0,-2.0,0.5366197183098592
94974BGP9=,2023.0,8,8.0,4.0,6.0,-4.0,-2.0,0.5084507042253521
95000U2C6=,2023.0,8,4.0,4.0,6.0,0.0,2.0,0.5647887323943662
95000U2D4=,2023.0,8,8.0,4.0,6.0,-4.0,-2.0,0.5366197183098592
95001D6K1=,2023.0,8,5.0,5.0,6.0,0.0,1.0,0.5507042253521127
95001DBJ8=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.647887323943662
95001DC40=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.5352112676056339
95001DC57=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.5774647887323944
95001DCG3=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.5774647887323944
95001DCQ1=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.5929577464788732
961214CX9=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.7323943661971831
961214DC4=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.7464788732394367
961214DK6=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.6901408450704225
961214DW0=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.7183098591549296
961214EC3=,2023.0,8,4.0,4.0,4.0,0.0,0.0,0.6901408450704225
961214EH2=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.5788732394366198
961214EL3=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.7042253521126761
961214ER0=,2023.0,8,4.0,4.0,4.0,0.0,0.0,0.5915492957746479
961214ET6=,2023.0,8,4.0,4.0,4.0,0.0,0.0,0.6056338028169014
961214EU3=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.5915492957746479
961214EW9=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.5492957746478874
961214FA6=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.6056338028169014
961214FC2=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.6056338028169014
961214FH1=,2023.0,8,4.0,4.0,4.0,0.0,0.0,0.5070422535211268
961214FK4=,2023.0,8,4.0,4.0,4.0,0.0,0.0,0.5633802816901409
AU077470832=,2023.0,8,2.0,2.0,3.0,0.0,1.0,0.5915492957746479
AU080520891=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.5774647887323944
AU087938506=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.5352112676056339
AU126972679=,2023.0,8,6.0,5.0,6.0,-1.0,0.0,0.9014084507042254
AU134777346=,2023.0,8,6.0,5.0,6.0,-1.0,0.0,0.8873239436619719
AU141429574=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.5774647887323944
AU141656465=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.619718309859155
AU141967720=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.6619718309859155
AU143170802=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.7042253521126761
AU143324389=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.6901408450704225
AU148545103=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.6056338028169014
AU154872485=,2023.0,8,4.0,4.0,4.0,0.0,0.0,0.5070422535211268
AU164710505=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.5492957746478874
AU165612043=,2023.0,8,4.0,4.0,4.0,0.0,0.0,0.7183098591549296
AU168839600=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.619718309859155
AU179466660=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.5352112676056339
AU188387772=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.5915492957746479
